campionato,mercato,partite,winrate_base,miglior_range,miglior_roi,range_robusto,roi_robusto,n_robusto,wr_robusto
argentina-prim-b-nacional,Over 0.5 HT (gol 1° tempo),4271,58.0,odd_2 4.20-4.25,4.5,odd_2 3.35-3.40,0.1,142,72.5
argentina-prim-b-nacional,Over 0.5 2T (gol 2° tempo),4271,67.5,odd_2 4.00-4.05,6.1,odd_2 3.35-3.40,2.8,142,80.3
argentina-prim-b-nacional,Over 1.5 2T (2+ gol 2° tempo),4271,31.4,odd_dog 6.00-6.05,8.4,odd_dog 3.70-3.75,-7.7,91,44.0
argentina-prim-b-nacional,Over 1.5 FT,4271,59.8,odd_2 3.35-3.40,22.2,odd_2 3.35-3.40,22.2,142,78.9
argentina-prim-b-nacional,Over 2.5 FT,4271,32.3,odd_2 3.35-3.40,26.4,odd_2 3.35-3.40,26.4,142,47.9
argentina-prim-b-nacional,Over 3.5 FT,4271,14.4,spread_fav_dog 2.20-2.25,32.3,odd_x 3.25-3.30,1.8,85,22.4
argentina-prim-b-nacional,BTTS Sì,4271,40.9,odd_1 2.80-2.85,39.3,odd_2 3.35-3.40,21.7,142,55.6
argentina-prim-b-nacional,Vittoria 1,4271,43.4,odd_2 2.40-2.45,25.9,odd_fav 2.40-2.45,13.5,180,43.9
argentina-prim-b-nacional,Pareggio X,4271,33.3,spread_fav_dog 1.05-1.10,53.3,odd_dog 4.20-4.25,31.8,91,44.0
argentina-prim-b-nacional,Vittoria 2,4271,23.3,spread_fav_dog 2.55-2.60,66.9,odd_1 1.85-1.90,15.1,138,27.5
argentina-primera-division,Over 0.5 HT (gol 1° tempo),4458,63.4,spread_fav_dog 2.85-2.90,16.4,odd_2 2.85-2.90,3.2,99,74.7
argentina-primera-division,Over 0.5 2T (gol 2° tempo),4458,71.1,odd_2 1.95-2.00,15.2,odd_fav 2.30-2.35,4.0,160,81.2
argentina-primera-division,Over 1.5 2T (2+ gol 2° tempo),4458,35.9,spread_fav_dog 2.60-2.65,24.7,odd_dog 3.45-3.50,0.0,84,47.6
argentina-primera-division,Over 1.5 FT,4458,65.4,odd_1 2.80-2.85,18.9,odd_2 2.95-3.00,5.2,111,73.0
argentina-primera-division,Over 2.5 FT,4458,39.0,spread_fav_dog 2.35-2.40,25.6,odd_x 2.80-2.85,6.7,118,37.3
argentina-primera-division,Over 3.5 FT,4458,19.2,odd_2 3.00-3.05,33.0,odd_dog 3.45-3.50,29.1,84,32.1
argentina-primera-division,BTTS Sì,4458,44.8,odd_x 3.70-3.75,25.6,odd_fav 2.70-2.75,12.8,87,56.3
argentina-primera-division,Vittoria 1,4458,43.0,spread_fav_dog 2.85-2.90,66.1,spread_fav_dog 1.20-1.25,16.1,104,46.2
argentina-primera-division,Pareggio X,4458,30.1,odd_2 4.05-4.10,49.4,odd_1 2.55-2.60,19.1,87,40.2
argentina-primera-division,Vittoria 2,4458,26.9,odd_1 1.30-1.35,94.6,odd_x 3.60-3.65,12.6,108,27.8
australia-a-league,Over 0.5 HT (gol 1° tempo),1983,74.7,odd_1 1.60-1.65,22.9,odd_fav 2.25-2.30,12.1,96,81.2
australia-a-league,Over 0.5 2T (gol 2° tempo),1983,82.0,odd_x 4.20-4.25,28.0,odd_x 3.80-3.85,13.5,115,88.7
australia-a-league,Over 1.5 2T (2+ gol 2° tempo),1983,50.6,odd_x 4.20-4.25,57.5,odd_fav 2.05-2.10,27.6,102,60.8
australia-a-league,Over 1.5 FT,1983,80.5,odd_2 3.00-3.05,17.9,odd_fav 2.25-2.30,8.4,96,87.5
australia-a-league,Over 2.5 FT,1983,59.2,odd_x 4.20-4.25,29.6,odd_fav 2.05-2.10,12.4,102,65.7
australia-a-league,Over 3.5 FT,1983,34.9,odd_dog 3.30-3.35,38.0,odd_fav 2.20-2.25,6.6,105,40.0
australia-a-league,BTTS Sì,1983,60.0,odd_2 3.25-3.30,25.8,odd_fav 1.70-1.75,14.8,81,70.4
australia-a-league,Vittoria 1,1983,43.9,spread_fav_dog 1.90-1.95,35.9,odd_fav 2.15-2.20,18.8,107,50.5
australia-a-league,Pareggio X,1983,23.7,odd_1 2.55-2.60,33.4,odd_fav 2.20-2.25,26.0,105,36.2
australia-a-league,Vittoria 2,1983,32.4,odd_1 2.50-2.55,57.7,odd_fav 1.80-1.85,18.1,86,37.2
austria-2-liga,Over 0.5 HT (gol 1° tempo),2548,72.4,odd_1 2.60-2.65,20.7,odd_x 4.00-4.05,11.6,89,80.9
austria-2-liga,Over 0.5 2T (gol 2° tempo),2548,81.0,odd_2 2.90-2.95,24.1,odd_1 2.15-2.20,14.4,85,89.4
austria-2-liga,Over 1.5 2T (2+ gol 2° tempo),2548,50.2,odd_dog 3.95-4.00,44.4,odd_x 3.65-3.70,22.1,117,58.1
austria-2-liga,Over 1.5 FT,2548,79.9,odd_1 2.70-2.75,10.2,odd_fav 2.45-2.50,10.0,85,88.2
austria-2-liga,Over 2.5 FT,2548,56.9,odd_2 1.75-1.80,25.6,odd_fav 2.35-2.40,17.6,109,68.8
austria-2-liga,Over 3.5 FT,2548,35.7,odd_dog 4.20-4.25,38.1,odd_x 4.00-4.05,25.4,89,51.7
austria-2-liga,BTTS Sì,2548,55.8,odd_2 1.75-1.80,38.9,odd_fav 1.75-1.80,5.7,104,64.4
austria-2-liga,Vittoria 1,2548,42.0,odd_2 1.80-1.85,30.8,odd_1 2.15-2.20,13.3,85,51.8
austria-2-liga,Pareggio X,2548,23.5,odd_2 2.30-2.35,43.5,odd_dog 3.55-3.60,25.0,108,35.2
austria-2-liga,Vittoria 2,2548,34.5,odd_1 1.30-1.35,59.2,odd_fav 1.70-1.75,23.7,107,40.2
austria-bundesliga,Over 0.5 HT (gol 1° tempo),2453,70.6,spread_fav_dog 1.65-1.70,17.3,odd_dog 3.60-3.65,10.4,135,80.0
austria-bundesliga,Over 0.5 2T (gol 2° tempo),2453,82.0,odd_x 4.25-4.30,19.7,odd_fav 1.50-1.55,12.8,84,88.1
austria-bundesliga,Over 1.5 2T (2+ gol 2° tempo),2453,49.3,odd_dog 6.00-6.05,49.0,odd_fav 1.55-1.60,14.3,90,54.4
austria-bundesliga,Over 1.5 FT,2453,79.0,odd_1 2.85-2.90,14.8,odd_fav 1.55-1.60,8.3,90,86.7
austria-bundesliga,Over 2.5 FT,2453,55.3,odd_2 2.15-2.20,35.2,odd_fav 1.50-1.55,7.3,84,63.1
austria-bundesliga,Over 3.5 FT,2453,33.2,odd_2 2.30-2.35,34.9,odd_dog 3.60-3.65,17.1,135,41.5
austria-bundesliga,BTTS Sì,2453,54.4,odd_fav 1.50-1.55,21.3,odd_fav 1.50-1.55,21.3,84,69.0
austria-bundesliga,Vittoria 1,2453,42.1,odd_2 3.05-3.10,25.9,odd_fav 1.60-1.65,10.6,107,53.3
austria-bundesliga,Pareggio X,2453,25.0,odd_1 2.60-2.65,46.6,odd_fav 2.20-2.25,30.5,85,37.6
austria-bundesliga,Vittoria 2,2453,32.9,odd_1 1.55-1.60,69.2,odd_fav 1.55-1.60,50.4,90,40.0
belgium-first-division-b,Over 0.5 HT (gol 1° tempo),2148,70.3,odd_2 2.25-2.30,24.6,odd_x 3.65-3.70,10.7,96,80.2
belgium-first-division-b,Over 0.5 2T (gol 2° tempo),2148,80.3,spread_fav_dog 1.85-1.90,16.7,odd_fav 1.95-2.00,13.8,90,88.9
belgium-first-division-b,Over 1.5 2T (2+ gol 2° tempo),2148,49.3,odd_2 1.95-2.00,42.1,odd_fav 2.00-2.05,23.0,99,58.6
belgium-first-division-b,Over 1.5 FT,2148,77.2,spread_fav_dog 1.85-1.90,18.5,odd_fav 1.85-1.90,10.8,94,88.3
belgium-first-division-b,Over 2.5 FT,2148,54.4,odd_1 2.65-2.70,30.2,odd_dog 3.35-3.40,13.8,85,63.5
belgium-first-division-b,Over 3.5 FT,2148,31.4,odd_1 2.65-2.70,32.3,odd_fav 1.95-2.00,6.2,90,38.9
belgium-first-division-b,BTTS Sì,2148,54.7,odd_2 2.35-2.40,24.3,odd_fav 2.00-2.05,12.9,99,67.7
belgium-first-division-b,Vittoria 1,2148,41.1,odd_dog 4.30-4.35,33.6,odd_fav 1.65-1.70,23.9,80,56.2
belgium-first-division-b,Pareggio X,2148,25.0,odd_fav 2.55-2.60,57.2,odd_x 3.75-3.80,21.0,87,32.2
belgium-first-division-b,Vittoria 2,2148,33.9,odd_dog 4.40-4.45,55.8,odd_x 3.30-3.35,23.1,130,45.4
belgium-pro-league,Over 0.5 HT (gol 1° tempo),3233,71.9,odd_2 1.60-1.65,20.7,odd_fav 1.30-1.35,15.9,81,84.0
belgium-pro-league,Over 0.5 2T (gol 2° tempo),3233,80.9,spread_fav_dog 2.00-2.05,20.7,odd_1 1.60-1.65,12.8,118,88.1
belgium-pro-league,Over 1.5 2T (2+ gol 2° tempo),3233,48.9,odd_1 2.90-2.95,50.9,odd_x 4.00-4.05,23.8,95,58.9
belgium-pro-league,Over 1.5 FT,3233,78.7,odd_1 2.90-2.95,21.0,odd_1 1.35-1.40,7.3,112,89.3
belgium-pro-league,Over 2.5 FT,3233,55.8,odd_1 2.90-2.95,32.9,odd_fav 1.30-1.35,13.8,81,71.6
belgium-pro-league,Over 3.5 FT,3233,32.5,odd_2 1.95-2.00,33.8,odd_dog 3.65-3.70,23.6,109,45.0
belgium-pro-league,BTTS Sì,3233,56.2,odd_2 2.25-2.30,22.4,spread_fav_dog 1.00-1.05,10.0,116,66.4
belgium-pro-league,Vittoria 1,3233,44.4,odd_dog 4.50-4.55,33.9,spread_fav_dog 1.40-1.45,27.5,95,51.6
belgium-pro-league,Pareggio X,3233,24.5,odd_2 3.70-3.75,104.2,odd_fav 1.70-1.75,28.5,124,33.1
belgium-pro-league,Vittoria 2,3233,31.1,odd_dog 4.20-4.25,43.3,odd_1 1.50-1.55,28.8,89,22.5
bolivia-lfpb,Over 0.5 HT (gol 1° tempo),3412,73.2,spread_fav_dog 1.50-1.55,18.3,odd_fav 1.20-1.25,14.8,107,83.2
bolivia-lfpb,Over 0.5 2T (gol 2° tempo),3412,82.2,odd_x 4.25-4.30,20.0,odd_1 1.25-1.30,15.2,100,90.0
bolivia-lfpb,Over 1.5 2T (2+ gol 2° tempo),3412,51.7,odd_1 1.20-1.25,42.0,odd_1 1.20-1.25,42.0,105,67.6
bolivia-lfpb,Over 1.5 FT,3412,79.0,odd_x 4.25-4.30,11.5,odd_fav 1.20-1.25,8.1,107,94.4
bolivia-lfpb,Over 2.5 FT,3412,57.6,odd_x 4.25-4.30,29.6,odd_1 1.25-1.30,17.0,100,73.0
bolivia-lfpb,Over 3.5 FT,3412,35.3,odd_x 4.25-4.30,41.9,odd_1 1.25-1.30,16.2,100,49.0
bolivia-lfpb,BTTS Sì,3412,55.2,odd_2 3.70-3.75,26.8,odd_fav 1.65-1.70,9.2,156,64.7
bolivia-lfpb,Vittoria 1,3412,55.4,odd_dog 4.10-4.15,44.8,odd_fav 1.40-1.45,19.9,133,72.2
bolivia-lfpb,Pareggio X,3412,21.7,odd_2 2.70-2.75,43.5,spread_fav_dog 1.00-1.05,25.6,94,37.2
bolivia-lfpb,Vittoria 2,3412,22.9,odd_2 3.00-3.05,71.7,odd_fav 1.85-1.90,15.9,87,37.9
brazil-serie-a,Over 0.5 HT (gol 1° tempo),4895,65.8,odd_2 3.80-3.85,14.5,odd_1 1.40-1.45,9.5,121,79.3
brazil-serie-a,Over 0.5 2T (gol 2° tempo),4895,74.6,odd_2 4.25-4.30,13.4,odd_1 1.35-1.40,10.0,121,86.0
brazil-serie-a,Over 1.5 2T (2+ gol 2° tempo),4895,37.8,odd_2 4.25-4.30,20.0,odd_1 1.35-1.40,4.1,121,49.6
brazil-serie-a,Over 1.5 FT,4895,68.4,odd_dog 5.25-5.30,17.2,odd_1 1.40-1.45,10.5,121,84.3
brazil-serie-a,Over 2.5 FT,4895,43.1,spread_fav_dog 3.55-3.60,34.6,odd_1 1.85-1.90,7.0,117,51.3
brazil-serie-a,Over 3.5 FT,4895,20.6,odd_2 4.55-4.60,19.3,odd_dog 3.00-3.05,7.9,92,22.8
brazil-serie-a,BTTS Sì,4895,47.4,odd_x 4.30-4.35,24.6,odd_fav 2.65-2.70,9.4,99,57.6
brazil-serie-a,Vittoria 1,4895,48.5,odd_1 3.35-3.40,53.0,odd_1 2.55-2.60,29.1,88,50.0
brazil-serie-a,Pareggio X,4895,26.7,odd_1 3.10-3.15,56.2,odd_fav 2.65-2.70,26.2,99,40.4
brazil-serie-a,Vittoria 2,4895,24.8,odd_dog 8.00-8.05,122.5,odd_dog 3.55-3.60,20.2,84,39.3
brazil-serie-b,Over 0.5 HT (gol 1° tempo),4528,63.7,spread_fav_dog 1.75-1.80,12.4,odd_1 1.55-1.60,4.8,137,75.9
brazil-serie-b,Over 0.5 2T (gol 2° tempo),4528,71.4,odd_dog 5.30-5.35,15.2,odd_x 3.70-3.75,13.8,81,88.9
brazil-serie-b,Over 1.5 2T (2+ gol 2° tempo),4528,35.0,odd_x 3.90-3.95,11.6,odd_x 3.45-3.50,2.3,156,48.7
brazil-serie-b,Over 1.5 FT,4528,65.6,odd_dog 4.90-4.95,15.4,odd_1 1.40-1.45,10.7,84,82.1
brazil-serie-b,Over 2.5 FT,4528,39.6,odd_dog 4.35-4.40,36.9,odd_dog 3.80-3.85,15.5,83,50.6
brazil-serie-b,Over 3.5 FT,4528,18.2,odd_x 3.90-3.95,19.4,odd_x 3.55-3.60,1.2,108,30.6
brazil-serie-b,BTTS Sì,4528,46.3,spread_fav_dog 2.30-2.35,29.8,odd_1 1.45-1.50,14.1,86,53.5
brazil-serie-b,Vittoria 1,4528,47.3,odd_1 2.85-2.90,38.2,odd_fav 2.60-2.65,30.5,85,48.2
brazil-serie-b,Pareggio X,4528,28.6,odd_x 3.95-4.00,47.3,odd_2 3.15-3.20,19.7,80,40.0
brazil-serie-b,Vittoria 2,4528,24.1,odd_dog 4.90-4.95,58.9,odd_2 3.55-3.60,29.4,86,36.0
bulgaria-first-league,Over 0.5 HT (gol 1° tempo),1580,66.0,odd_fav 1.85-1.90,10.4,odd_x 3.00-3.05,-3.6,83,69.9
bulgaria-first-league,Over 0.5 2T (gol 2° tempo),1580,73.0,odd_x 3.60-3.65,8.8,odd_x 3.30-3.35,1.5,82,79.3
bulgaria-first-league,Over 1.5 2T (2+ gol 2° tempo),1580,38.3,odd_dog 3.15-3.20,21.2,odd_x 3.15-3.20,-4.1,81,45.7
bulgaria-first-league,Over 1.5 FT,1580,69.2,odd_1 1.65-1.70,12.6,odd_x 3.00-3.05,0.9,83,72.3
bulgaria-first-league,Over 2.5 FT,1580,43.3,odd_fav 1.85-1.90,23.4,odd_x 3.00-3.05,8.7,83,49.4
bulgaria-first-league,Over 3.5 FT,1580,23.8,odd_fav 1.40-1.45,26.1,odd_x 3.00-3.05,10.1,83,27.7
bulgaria-first-league,BTTS Sì,1580,42.9,odd_1 1.25-1.30,15.3,odd_x 3.00-3.05,5.1,83,54.2
bulgaria-first-league,Vittoria 1,1580,46.5,odd_x 3.35-3.40,34.6,odd_x 3.00-3.05,11.6,83,44.6
bulgaria-first-league,Pareggio X,1580,24.4,odd_fav 2.30-2.35,47.1,odd_x 3.25-3.30,20.5,81,37.0
bulgaria-first-league,Vittoria 2,1580,29.1,odd_2 2.15-2.20,9.6,odd_x 3.30-3.35,-2.7,82,37.8
chile-primera-division,Over 0.5 HT (gol 1° tempo),1965,67.5,odd_fav 2.55-2.60,12.6,odd_x 3.45-3.50,8.1,120,78.3
chile-primera-division,Over 0.5 2T (gol 2° tempo),1965,78.5,odd_dog 3.55-3.60,14.5,odd_x 3.40-3.45,6.3,183,83.1
chile-primera-division,Over 1.5 2T (2+ gol 2° tempo),1965,44.7,odd_dog 3.55-3.60,40.0,odd_fav 2.45-2.50,10.3,80,52.5
chile-primera-division,Over 1.5 FT,1965,73.3,odd_1 2.55-2.60,12.6,odd_fav 1.90-1.95,3.9,131,80.2
chile-primera-division,Over 2.5 FT,1965,49.5,odd_1 2.55-2.60,36.2,odd_fav 2.15-2.20,9.4,107,56.1
chile-primera-division,Over 3.5 FT,1965,27.3,spread_fav_dog 1.50-1.55,36.1,odd_fav 2.15-2.20,8.8,107,32.7
chile-primera-division,BTTS Sì,1965,53.7,odd_1 2.55-2.60,26.6,odd_fav 2.15-2.20,12.3,107,63.6
chile-primera-division,Vittoria 1,1965,45.0,odd_1 2.40-2.45,40.5,spread_fav_dog 1.00-1.05,19.2,98,49.0
chile-primera-division,Pareggio X,1965,26.2,spread_fav_dog 1.45-1.50,38.0,odd_fav 2.35-2.40,13.6,118,35.6
chile-primera-division,Vittoria 2,1965,28.9,odd_dog 3.70-3.75,38.5,odd_dog 3.50-3.55,6.2,82,35.4
china-chinese-super-league,Over 0.5 HT (gol 1° tempo),2769,72.9,odd_2 1.35-1.40,23.0,odd_fav 1.45-1.50,12.2,107,81.3
china-chinese-super-league,Over 0.5 2T (gol 2° tempo),2769,79.8,odd_2 1.65-1.70,20.2,odd_fav 1.20-1.25,16.4,88,90.9
china-chinese-super-league,Over 1.5 2T (2+ gol 2° tempo),2769,48.7,spread_fav_dog 2.00-2.05,44.4,odd_fav 1.20-1.25,40.8,88,67.0
china-chinese-super-league,Over 1.5 FT,2769,78.7,odd_2 1.65-1.70,11.2,odd_x 3.55-3.60,9.5,91,86.8
china-chinese-super-league,Over 2.5 FT,2769,56.1,odd_2 1.65-1.70,30.1,odd_fav 1.20-1.25,16.3,88,76.1
china-chinese-super-league,Over 3.5 FT,2769,32.7,odd_2 2.20-2.25,46.8,odd_fav 1.30-1.35,14.3,104,47.1
china-chinese-super-league,BTTS Sì,2769,57.0,odd_1 2.50-2.55,26.9,odd_dog 3.30-3.35,18.0,110,68.2
china-chinese-super-league,Vittoria 1,2769,45.3,odd_2 1.75-1.80,70.2,odd_fav 1.75-1.80,29.3,96,53.1
china-chinese-super-league,Pareggio X,2769,25.4,odd_2 1.40-1.45,57.1,odd_x 3.55-3.60,40.8,91,39.6
china-chinese-super-league,Vittoria 2,2769,29.4,odd_1 2.30-2.35,28.4,odd_x 4.00-4.05,22.5,80,38.8
colombia-categoria-primera-a,Over 0.5 HT (gol 1° tempo),3223,65.4,spread_fav_dog 1.95-2.00,9.8,odd_1 1.55-1.60,2.9,122,74.6
colombia-categoria-primera-a,Over 0.5 2T (gol 2° tempo),3223,71.0,odd_x 3.90-3.95,15.2,odd_1 1.40-1.45,3.0,92,80.4
colombia-categoria-primera-a,Over 1.5 2T (2+ gol 2° tempo),3223,34.5,odd_x 4.20-4.25,20.9,odd_1 1.45-1.50,0.6,96,47.9
colombia-categoria-primera-a,Over 1.5 FT,3223,66.2,odd_2 2.40-2.45,22.7,odd_fav 2.40-2.45,11.8,110,74.5
colombia-categoria-primera-a,Over 2.5 FT,3223,39.7,spread_fav_dog 1.90-1.95,34.7,odd_1 2.05-2.10,18.0,110,50.0
colombia-categoria-primera-a,Over 3.5 FT,3223,19.1,spread_fav_dog 1.90-1.95,54.7,odd_1 2.05-2.10,32.1,110,30.0
colombia-categoria-primera-a,BTTS Sì,3223,47.4,odd_x 4.20-4.25,38.9,odd_x 2.80-2.85,23.1,136,58.1
colombia-categoria-primera-a,Vittoria 1,3223,46.1,odd_dog 5.25-5.30,23.9,odd_fav 1.70-1.75,18.5,127,64.6
colombia-categoria-primera-a,Pareggio X,3223,30.0,odd_2 3.90-3.95,52.1,odd_dog 3.30-3.35,41.2,93,47.3
colombia-categoria-primera-a,Vittoria 2,3223,23.9,odd_2 2.40-2.45,27.6,odd_fav 2.40-2.45,20.7,110,44.5
croatia-prva-hnl,Over 0.5 HT (gol 1° tempo),1347,66.7,odd_1 1.40-1.45,13.6,odd_x 3.30-3.35,-15.0,86,61.6
croatia-prva-hnl,Over 0.5 2T (gol 2° tempo),1347,77.4,odd_2 1.90-1.95,13.4,odd_x 3.30-3.35,-6.2,86,73.3
croatia-prva-hnl,Over 1.5 2T (2+ gol 2° tempo),1347,43.6,odd_1 1.20-1.25,15.0,odd_x 3.30-3.35,-24.3,86,36.0
croatia-prva-hnl,Over 1.5 FT,1347,72.8,odd_fav 1.60-1.65,13.9,odd_x 3.30-3.35,-8.8,86,69.8
croatia-prva-hnl,Over 2.5 FT,1347,48.4,odd_1 1.20-1.25,20.0,odd_x 3.30-3.35,-25.5,86,37.2
