campionato,mercato,partite,winrate_base,miglior_range,miglior_roi,range_robusto,roi_robusto,n_robusto,wr_robusto
portugal-liga-nos,Over 2.5 FT,3846,48.1,odd_2 2.70-2.75,32.5,odd_1 1.20-1.25,12.4,126,67.5
portugal-liga-nos,Over 3.5 FT,3846,26.5,odd_x 4.40-4.45,33.1,odd_fav 1.80-1.85,15.4,100,35.0
portugal-liga-nos,BTTS Sì,3846,47.8,odd_dog 7.00-7.05,29.7,odd_1 2.05-2.10,15.1,116,61.2
portugal-liga-nos,Vittoria 1,3846,44.3,odd_fav 2.70-2.75,53.3,odd_2 1.35-1.40,14.3,104,13.5
portugal-liga-nos,Pareggio X,3846,24.4,odd_1 1.50-1.55,58.8,odd_x 3.05-3.10,33.3,108,43.5
portugal-liga-nos,Vittoria 2,3846,31.3,odd_x 4.10-4.15,44.5,odd_fav 2.30-2.35,19.2,117,41.0
republic-of-ireland-first-division,Over 0.5 HT (gol 1° tempo),1199,71.1,odd_fav 1.25-1.30,17.8,odd_x 3.30-3.35,3.1,83,74.7
republic-of-ireland-first-division,Over 0.5 2T (gol 2° tempo),1199,79.3,odd_fav 1.20-1.25,15.2,odd_x 3.30-3.35,4.9,83,81.9
republic-of-ireland-first-division,Over 1.5 2T (2+ gol 2° tempo),1199,48.1,odd_1 1.30-1.35,33.0,odd_x 3.30-3.35,6.3,83,50.6
republic-of-ireland-first-division,Over 1.5 FT,1199,76.1,odd_fav 2.20-2.25,17.0,odd_x 3.30-3.35,4.1,83,81.9
republic-of-ireland-first-division,Over 2.5 FT,1199,54.3,odd_fav 2.20-2.25,26.0,odd_x 3.30-3.35,18.0,83,63.9
republic-of-ireland-first-division,Over 3.5 FT,1199,32.8,odd_1 1.30-1.35,32.4,odd_x 3.30-3.35,16.4,83,37.3
republic-of-ireland-first-division,BTTS Sì,1199,52.0,odd_1 1.30-1.35,25.9,odd_x 3.30-3.35,7.2,83,62.7
republic-of-ireland-first-division,Vittoria 1,1199,41.7,odd_fav 2.35-2.40,23.7,odd_x 3.50-3.55,-3.8,83,41.0
republic-of-ireland-first-division,Pareggio X,1199,23.7,odd_fav 1.70-1.75,53.6,odd_x 3.40-3.45,2.6,83,30.1
republic-of-ireland-first-division,Vittoria 2,1199,34.6,odd_1 1.90-1.95,31.8,odd_x 3.30-3.35,9.3,83,42.2
republic-of-ireland-premier-division,Over 0.5 HT (gol 1° tempo),2281,69.5,odd_dog 4.00-4.05,26.2,odd_fav 1.95-2.00,7.8,96,78.1
republic-of-ireland-premier-division,Over 0.5 2T (gol 2° tempo),2281,75.7,odd_1 1.35-1.40,12.6,odd_1 1.35-1.40,12.6,83,88.0
republic-of-ireland-premier-division,Over 1.5 2T (2+ gol 2° tempo),2281,41.4,odd_1 2.35-2.40,40.0,odd_fav 1.40-1.45,12.7,82,53.7
republic-of-ireland-premier-division,Over 1.5 FT,2281,72.3,odd_1 2.05-2.10,17.3,odd_1 1.35-1.40,11.4,83,86.7
republic-of-ireland-premier-division,Over 2.5 FT,2281,47.4,odd_1 1.20-1.25,23.2,odd_fav 1.75-1.80,3.7,89,51.7
republic-of-ireland-premier-division,Over 3.5 FT,2281,25.0,odd_1 1.20-1.25,37.0,odd_fav 1.30-1.35,-5.1,81,34.6
republic-of-ireland-premier-division,BTTS Sì,2281,45.9,spread_fav_dog 1.20-1.25,29.6,odd_fav 1.70-1.75,7.3,106,55.7
republic-of-ireland-premier-division,Vittoria 1,2281,43.8,odd_2 2.15-2.20,61.4,odd_fav 2.10-2.15,38.8,83,51.8
republic-of-ireland-premier-division,Pareggio X,2281,24.2,odd_2 2.45-2.50,58.5,odd_1 1.35-1.40,47.2,83,31.3
republic-of-ireland-premier-division,Vittoria 2,2281,32.0,odd_1 2.40-2.45,40.6,odd_fav 1.55-1.60,16.7,106,34.9
south-korea-k-league-1,Over 0.5 HT (gol 1° tempo),1740,62.4,odd_fav 1.55-1.60,5.8,odd_dog 3.35-3.40,-5.8,85,68.2
south-korea-k-league-1,Over 0.5 2T (gol 2° tempo),1740,79.0,odd_1 2.95-3.00,19.5,odd_fav 1.90-1.95,10.9,112,86.6
south-korea-k-league-1,Over 1.5 2T (2+ gol 2° tempo),1740,48.1,odd_1 2.95-3.00,47.0,odd_dog 3.35-3.40,30.9,85,62.4
south-korea-k-league-1,Over 1.5 FT,1740,72.0,odd_dog 3.75-3.80,12.9,odd_dog 3.35-3.40,4.0,85,80.0
south-korea-k-league-1,Over 2.5 FT,1740,47.9,odd_1 2.50-2.55,33.4,odd_x 3.00-3.05,13.5,87,51.7
south-korea-k-league-1,Over 3.5 FT,1740,26.3,odd_1 2.70-2.75,34.7,odd_x 3.00-3.05,24.2,87,29.9
south-korea-k-league-1,BTTS Sì,1740,54.1,odd_dog 4.20-4.25,30.5,odd_fav 1.90-1.95,15.4,112,63.4
south-korea-k-league-1,Vittoria 1,1740,40.1,odd_2 2.65-2.70,30.5,odd_dog 3.15-3.20,8.9,82,42.7
south-korea-k-league-1,Pareggio X,1740,27.9,odd_fav 1.65-1.70,50.7,odd_fav 2.30-2.35,16.6,94,36.2
south-korea-k-league-1,Vittoria 2,1740,32.0,spread_fav_dog 1.55-1.60,24.7,odd_fav 2.10-2.15,18.3,93,44.1
south-korea-k-league-2,Over 0.5 HT (gol 1° tempo),1622,63.1,odd_2 2.25-2.30,10.4,odd_fav 1.95-2.00,1.9,107,73.8
south-korea-k-league-2,Over 0.5 2T (gol 2° tempo),1622,77.8,odd_1 1.65-1.70,17.9,odd_fav 2.15-2.20,3.8,106,81.1
south-korea-k-league-2,Over 1.5 2T (2+ gol 2° tempo),1622,44.7,odd_1 1.65-1.70,38.2,odd_fav 2.25-2.30,8.8,83,51.8
south-korea-k-league-2,Over 1.5 FT,1622,71.1,odd_2 2.25-2.30,25.1,odd_fav 2.25-2.30,5.8,83,78.3
south-korea-k-league-2,Over 2.5 FT,1622,47.1,odd_2 2.25-2.30,64.8,odd_fav 2.25-2.30,20.0,83,57.8
south-korea-k-league-2,Over 3.5 FT,1622,25.0,odd_x 3.55-3.60,40.4,odd_fav 1.95-2.00,12.6,107,31.8
south-korea-k-league-2,BTTS Sì,1622,51.7,odd_2 2.25-2.30,58.7,odd_fav 2.25-2.30,24.3,83,67.5
south-korea-k-league-2,Vittoria 1,1622,36.8,odd_2 1.85-1.90,55.8,odd_fav 1.90-1.95,0.4,93,41.9
south-korea-k-league-2,Pareggio X,1622,27.7,spread_fav_dog 1.25-1.30,53.5,odd_fav 1.70-1.75,17.5,80,33.8
south-korea-k-league-2,Vittoria 2,1622,35.5,spread_fav_dog 1.30-1.35,54.4,odd_fav 1.70-1.75,36.7,80,41.2
spain-la-liga,Over 0.5 HT (gol 1° tempo),5292,68.3,odd_2 1.30-1.35,23.0,odd_1 2.40-2.45,9.6,102,79.4
spain-la-liga,Over 0.5 2T (gol 2° tempo),5292,78.0,odd_2 4.20-4.25,19.7,odd_1 2.05-2.10,13.3,157,88.5
spain-la-liga,Over 1.5 2T (2+ gol 2° tempo),5292,44.1,odd_2 1.40-1.45,35.9,odd_x 3.65-3.70,19.4,139,56.8
spain-la-liga,Over 1.5 FT,5292,73.5,spread_fav_dog 3.30-3.35,20.5,odd_dog 3.10-3.15,8.8,99,74.7
spain-la-liga,Over 2.5 FT,5292,49.0,spread_fav_dog 3.30-3.35,40.7,odd_1 1.55-1.60,12.6,115,60.0
spain-la-liga,Over 3.5 FT,5292,27.0,spread_fav_dog 3.25-3.30,55.7,odd_1 1.65-1.70,12.3,139,34.5
spain-la-liga,BTTS Sì,5292,50.9,spread_fav_dog 3.30-3.35,37.1,odd_dog 3.10-3.15,17.7,99,59.6
spain-la-liga,Vittoria 1,5292,46.1,odd_dog 8.00-8.05,67.5,odd_fav 1.35-1.40,24.7,159,65.4
spain-la-liga,Pareggio X,5292,25.4,odd_2 1.20-1.25,45.6,odd_dog 3.35-3.40,32.9,168,39.9
spain-la-liga,Vittoria 2,5292,28.6,odd_2 3.80-3.85,41.2,odd_dog 4.00-4.05,27.9,98,39.8
spain-segunda-division,Over 0.5 HT (gol 1° tempo),5534,64.1,odd_1 1.45-1.50,20.7,spread_fav_dog 1.85-1.90,5.2,80,76.2
spain-segunda-division,Over 0.5 2T (gol 2° tempo),5534,74.1,odd_dog 4.45-4.50,13.8,odd_2 3.45-3.50,5.1,112,82.1
spain-segunda-division,Over 1.5 2T (2+ gol 2° tempo),5534,39.7,odd_x 3.65-3.70,23.8,odd_2 3.05-3.10,-0.5,133,47.4
spain-segunda-division,Over 1.5 FT,5534,68.1,odd_2 2.20-2.25,13.7,spread_fav_dog 1.30-1.35,5.6,87,77.0
spain-segunda-division,Over 2.5 FT,5534,42.2,odd_1 1.45-1.50,25.7,odd_1 2.70-2.75,3.6,94,47.9
spain-segunda-division,Over 3.5 FT,5534,22.1,odd_dog 6.00-6.05,48.6,odd_2 2.60-2.65,3.3,81,27.2
spain-segunda-division,BTTS Sì,5534,48.8,odd_2 2.20-2.25,23.6,odd_x 2.85-2.90,8.2,140,51.4
spain-segunda-division,Vittoria 1,5534,45.4,odd_2 2.50-2.55,35.9,spread_fav_dog 1.50-1.55,26.1,90,54.4
spain-segunda-division,Pareggio X,5534,29.5,odd_1 3.10-3.15,57.9,odd_dog 3.60-3.65,30.6,122,41.0
spain-segunda-division,Vittoria 2,5534,25.2,spread_fav_dog 2.45-2.50,34.9,odd_2 3.40-3.45,13.3,97,33.0
sweden-allsvenskan,Over 0.5 HT (gol 1° tempo),2874,70.9,odd_1 1.20-1.25,24.2,odd_1 1.75-1.80,7.0,98,77.6
sweden-allsvenskan,Over 0.5 2T (gol 2° tempo),2874,80.9,odd_2 2.20-2.25,19.7,odd_fav 1.50-1.55,12.9,93,88.2
sweden-allsvenskan,Over 1.5 2T (2+ gol 2° tempo),2874,46.4,odd_1 2.20-2.25,31.3,odd_fav 1.50-1.55,19.7,93,57.0
sweden-allsvenskan,Over 1.5 FT,2874,77.8,odd_1 2.20-2.25,17.1,odd_dog 3.55-3.60,8.3,111,84.7
sweden-allsvenskan,Over 2.5 FT,2874,54.3,odd_1 2.20-2.25,31.7,odd_1 1.35-1.40,16.2,92,67.4
sweden-allsvenskan,Over 3.5 FT,2874,30.4,odd_x 4.15-4.20,31.7,odd_1 1.35-1.40,12.1,92,42.4
sweden-allsvenskan,BTTS Sì,2874,54.3,odd_2 2.75-2.80,35.2,odd_1 1.75-1.80,14.9,98,66.3
sweden-allsvenskan,Vittoria 1,2874,43.8,odd_dog 5.50-5.55,42.3,odd_fav 1.55-1.60,9.2,108,54.6
sweden-allsvenskan,Pareggio X,2874,24.5,odd_2 3.20-3.25,69.0,odd_x 3.35-3.40,26.3,101,37.6
sweden-allsvenskan,Vittoria 2,2874,31.7,odd_1 2.65-2.70,45.8,odd_1 1.45-1.50,22.7,82,18.3
sweden-superettan,Over 0.5 HT (gol 1° tempo),2871,70.3,odd_2 3.10-3.15,18.3,odd_1 2.10-2.15,7.9,87,78.2
sweden-superettan,Over 0.5 2T (gol 2° tempo),2871,78.6,odd_1 1.35-1.40,15.9,odd_fav 1.75-1.80,11.5,101,87.1
sweden-superettan,Over 1.5 2T (2+ gol 2° tempo),2871,45.9,odd_2 2.10-2.15,44.0,odd_dog 3.65-3.70,26.9,91,60.4
sweden-superettan,Over 1.5 FT,2871,76.1,odd_x 3.90-3.95,11.8,odd_fav 1.70-1.75,7.0,109,84.4
sweden-superettan,Over 2.5 FT,2871,52.3,odd_2 3.60-3.65,34.4,odd_1 2.15-2.20,9.5,89,58.4
sweden-superettan,Over 3.5 FT,2871,30.4,odd_x 3.15-3.20,52.5,odd_1 1.70-1.75,15.9,89,40.4
sweden-superettan,BTTS Sì,2871,54.6,odd_x 3.15-3.20,20.3,odd_fav 2.35-2.40,12.4,168,66.7
sweden-superettan,Vittoria 1,2871,44.0,odd_1 2.80-2.85,45.9,spread_fav_dog 1.10-1.15,16.5,106,46.2
sweden-superettan,Pareggio X,2871,26.8,odd_dog 4.10-4.15,70.8,odd_1 1.80-1.85,36.4,86,37.2
sweden-superettan,Vittoria 2,2871,29.2,odd_2 3.90-3.95,46.1,odd_fav 1.65-1.70,35.5,82,34.1
switzerland-super-league,Over 0.5 HT (gol 1° tempo),2430,73.0,odd_2 3.40-3.45,26.2,odd_fav 2.30-2.35,13.4,84,82.1
switzerland-super-league,Over 0.5 2T (gol 2° tempo),2430,82.2,odd_2 1.95-2.00,20.7,odd_x 3.90-3.95,13.6,80,88.8
switzerland-super-league,Over 1.5 2T (2+ gol 2° tempo),2430,52.6,odd_dog 3.90-3.95,49.2,odd_fav 2.15-2.20,32.5,103,63.1
switzerland-super-league,Over 1.5 FT,2430,80.3,spread_fav_dog 1.85-1.90,13.5,odd_fav 2.15-2.20,10.6,103,89.3
switzerland-super-league,Over 2.5 FT,2430,57.0,spread_fav_dog 1.85-1.90,25.4,odd_fav 1.60-1.65,13.1,88,67.0
switzerland-super-league,Over 3.5 FT,2430,36.0,odd_2 2.25-2.30,46.8,odd_fav 2.30-2.35,17.8,84,44.0
switzerland-super-league,BTTS Sì,2430,58.8,odd_x 3.95-4.00,18.0,odd_dog 3.75-3.80,15.4,106,69.8
switzerland-super-league,Vittoria 1,2430,43.8,odd_1 2.70-2.75,71.2,odd_x 3.90-3.95,9.8,80,48.8
switzerland-super-league,Pareggio X,2430,25.8,spread_fav_dog 1.55-1.60,55.8,odd_fav 1.85-1.90,43.0,91,38.5
switzerland-super-league,Vittoria 2,2430,30.4,odd_x 4.30-4.35,51.8,odd_fav 2.25-2.30,19.7,84,44.0
turkey-1-lig,Over 0.5 HT (gol 1° tempo),3554,66.6,odd_dog 5.25-5.30,15.7,odd_1 1.50-1.55,4.3,86,75.6
turkey-1-lig,Over 0.5 2T (gol 2° tempo),3554,77.7,odd_2 2.30-2.35,17.6,odd_dog 3.55-3.60,9.5,83,85.5
turkey-1-lig,Over 1.5 2T (2+ gol 2° tempo),3554,46.1,odd_x 3.95-4.00,38.0,odd_1 2.15-2.20,14.7,108,54.6
turkey-1-lig,Over 1.5 FT,3554,73.4,odd_x 3.95-4.00,11.4,odd_fav 2.25-2.30,5.2,149,80.5
turkey-1-lig,Over 2.5 FT,3554,49.5,odd_x 3.95-4.00,17.5,odd_x 3.60-3.65,9.7,122,60.7
turkey-1-lig,Over 3.5 FT,3554,27.5,odd_1 2.90-2.95,48.4,odd_fav 1.50-1.55,12.8,100,39.0
turkey-1-lig,BTTS Sì,3554,50.5,odd_1 3.05-3.10,17.8,odd_1 2.15-2.20,10.9,108,63.0
turkey-1-lig,Vittoria 1,3554,44.8,spread_fav_dog 1.90-1.95,50.9,odd_1 2.10-2.15,26.8,91,59.3
turkey-1-lig,Pareggio X,3554,25.4,spread_fav_dog 2.20-2.25,70.1,odd_x 3.50-3.55,26.3,172,36.0
turkey-1-lig,Vittoria 2,3554,29.9,odd_1 1.25-1.30,105.2,odd_fav 1.55-1.60,16.8,102,34.3
turkey-super-lig,Over 0.5 HT (gol 1° tempo),3654,71.0,odd_fav 1.20-1.25,24.9,odd_1 1.35-1.40,18.3,98,85.7
turkey-super-lig,Over 0.5 2T (gol 2° tempo),3654,79.9,odd_x 4.20-4.25,17.3,odd_1 1.45-1.50,13.6,80,88.8
turkey-super-lig,Over 1.5 2T (2+ gol 2° tempo),3654,47.9,odd_1 2.85-2.90,46.1,odd_fav 1.85-1.90,29.6,94,61.7
turkey-super-lig,Over 1.5 FT,3654,76.8,odd_2 3.75-3.80,14.4,odd_fav 1.85-1.90,11.6,94,88.3
turkey-super-lig,Over 2.5 FT,3654,53.3,odd_dog 4.75-4.80,26.9,odd_1 1.35-1.40,21.9,98,74.5
turkey-super-lig,Over 3.5 FT,3654,31.4,odd_2 2.35-2.40,60.3,odd_1 1.45-1.50,24.1,80,48.8
turkey-super-lig,BTTS Sì,3654,56.0,spread_fav_dog 1.85-1.90,33.2,odd_1 2.40-2.45,19.2,86,69.8
turkey-super-lig,Vittoria 1,3654,45.6,odd_2 2.80-2.85,32.3,odd_x 3.85-3.90,30.3,83,59.0
turkey-super-lig,Pareggio X,3654,25.3,spread_fav_dog 1.85-1.90,80.6,odd_dog 3.65-3.70,28.6,94,36.2
turkey-super-lig,Vittoria 2,3654,29.1,spread_fav_dog 2.05-2.10,44.1,odd_fav 1.45-1.50,20.0,98,30.6
ukraine-ukrainian-premier-league,Over 0.5 HT (gol 1° tempo),2420,67.0,odd_2 1.60-1.65,15.7,odd_fav 1.30-1.35,4.2,94,75.5
ukraine-ukrainian-premier-league,Over 0.5 2T (gol 2° tempo),2420,74.7,odd_2 1.20-1.25,18.6,odd_fav 1.20-1.25,5.1,95,82.1
ukraine-ukrainian-premier-league,Over 1.5 2T (2+ gol 2° tempo),2420,41.3,odd_fav 1.50-1.55,21.3,odd_fav 1.25-1.30,11.5,113,53.1
ukraine-ukrainian-premier-league,Over 1.5 FT,2420,70.7,odd_2 1.30-1.35,12.2,odd_fav 1.35-1.40,2.4,98,81.6
ukraine-ukrainian-premier-league,Over 2.5 FT,2420,45.7,odd_fav 1.50-1.55,23.0,odd_fav 1.30-1.35,5.3,94,60.6
ukraine-ukrainian-premier-league,Over 3.5 FT,2420,24.6,odd_x 2.95-3.00,41.4,odd_fav 1.40-1.45,13.9,87,40.2
ukraine-ukrainian-premier-league,BTTS Sì,2420,45.2,odd_2 1.30-1.35,22.1,odd_fav 1.40-1.45,-2.1,87,52.9
ukraine-ukrainian-premier-league,Vittoria 1,2420,40.3,odd_2 2.55-2.60,29.3,odd_dog 3.25-3.30,4.4,84,40.5
ukraine-ukrainian-premier-league,Pareggio X,2420,25.8,odd_2 2.30-2.35,64.6,odd_fav 2.00-2.05,43.9,81,44.4
ukraine-ukrainian-premier-league,Vittoria 2,2420,33.8,odd_2 2.95-3.00,58.9,odd_fav 2.25-2.30,40.1,81,49.4
uruguay-primera-division,Over 0.5 HT (gol 1° tempo),2234,65.6,odd_1 1.40-1.45,15.6,odd_dog 3.35-3.40,-0.0,98,72.4
uruguay-primera-division,Over 0.5 2T (gol 2° tempo),2234,76.3,odd_1 1.30-1.35,13.8,odd_x 3.05-3.10,8.7,86,84.9
uruguay-primera-division,Over 1.5 2T (2+ gol 2° tempo),2234,40.0,odd_1 1.30-1.35,34.2,odd_x 3.05-3.10,0.1,86,47.7
uruguay-primera-division,Over 1.5 FT,2234,70.0,odd_1 2.95-3.00,21.0,odd_x 3.05-3.10,3.5,86,75.6
uruguay-primera-division,Over 2.5 FT,2234,44.9,odd_1 1.30-1.35,20.1,odd_x 3.05-3.10,14.6,86,53.5
uruguay-primera-division,Over 3.5 FT,2234,23.9,spread_fav_dog 1.60-1.65,38.9,odd_x 3.05-3.10,11.3,86,29.1
uruguay-primera-division,BTTS Sì,2234,49.7,odd_x 3.65-3.70,39.9,odd_fav 2.40-2.45,9.3,101,59.4
uruguay-primera-division,Vittoria 1,2234,39.6,odd_fav 1.35-1.40,36.1,odd_fav 2.30-2.35,12.5,87,44.8
uruguay-primera-division,Pareggio X,2234,28.2,odd_dog 3.50-3.55,50.2,odd_dog 3.50-3.55,50.2,83,44.6
uruguay-primera-division,Vittoria 2,2234,32.2,odd_2 2.05-2.10,43.3,odd_x 3.25-3.30,23.5,171,45.6
usa-mls,Over 0.5 HT (gol 1° tempo),4950,72.5,odd_1 2.80-2.85,19.2,spread_fav_dog 1.70-1.75,10.7,106,80.2
usa-mls,Over 0.5 2T (gol 2° tempo),4950,80.7,spread_fav_dog 2.85-2.90,22.7,odd_dog 3.75-3.80,12.1,250,87.6
usa-mls,Over 1.5 2T (2+ gol 2° tempo),4950,49.9,spread_fav_dog 3.65-3.70,49.0,odd_x 4.20-4.25,26.8,106,60.4
usa-mls,Over 1.5 FT,4950,78.6,odd_2 4.10-4.15,19.7,odd_x 3.95-4.00,4.2,122,85.2
usa-mls,Over 2.5 FT,4950,57.3,odd_2 4.60-4.65,32.6,odd_x 3.95-4.00,16.0,122,68.9
usa-mls,Over 3.5 FT,4950,33.2,spread_fav_dog 2.90-2.95,42.4,odd_x 3.95-4.00,15.8,122,44.3
usa-mls,BTTS Sì,4950,58.0,odd_dog 4.65-4.70,24.2,odd_x 3.95-4.00,12.4,122,68.0
usa-mls,Vittoria 1,4950,49.3,odd_fav 2.60-2.65,34.3,spread_fav_dog 2.05-2.10,22.4,83,61.4
usa-mls,Pareggio X,4950,24.9,odd_2 4.40-4.45,48.0,spread_fav_dog 2.15-2.20,33.0,82,35.4
usa-mls,Vittoria 2,4950,25.8,odd_1 2.80-2.85,41.6,odd_x 3.85-3.90,37.8,135,35.6
